druh,obsah,datace,zobrazeno,xid,signatura,start_date,end_date,geolocation_position_lon,geolocation_position_lat,geolocation_type,geolocation_endpoint,autor,poznámka,scan_count,scan_previews,scan_zoomify_paths
negativ,"Pohled do parku na Karlově náměstí - detail výzdoby ""západní květinový koberec"". V pozadí vchod do parku před domem čp. 291 na Novém Městě.",kol.1900,33x,A1188BE4B67611DF820F00166F1163D4,VIII 1058,1900-01-01,1900-12-31,14.43664,50.03892,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Celkový pohled na domy čp. 976 a 979 na Senovážném náměstí na Novém Městě. V pozadí věž zvonice kostela sv. Jindřicha.,kol.1910,79x,A11889CBB67611DF820F00166F1163D4,VI 7/52 a,1910-01-01,1910-12-31,14.43023,50.08551,regional.address,geocode,,,,[],[]
pozitiv,Pražské povstání - květen 1945. Barikáda v Karlově ulici před Křižovnickým náměstím na Starém Městě.,květen 1945,149x,A11889B1B67611DF820F00166F1163D4,I 6518,1945-05-01,1945-05-31,14.41659,50.08616,regional.address,geocode,,,,[],[]
pozitiv,Pohled od tratě pod Barrandovskou skálou na vltavské údolí. Za řekou Braník (v pozadí uprostřed pivovar). Součást panoramatu.,15.6.1927,53x,09759312035811E7A51174D435EEBE90,A 3365,1927-06-15,1927-06-15,14.40986,50.02941,poi,suggest,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,Pohled na Křižovnické náměstí se Staroměstskou mostní věží a s pomníkem císaře Karla IV.,kol.1890,45x,A1188BD1B67611DF820F00166F1163D4,VI 36/1 a,1890-01-01,1890-12-31,14.41405,50.08641,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Reprodukce článku z Národních listů 16.12.1911 (večerní vydání) o slavnostním otevření Obecního domu (dům čp. 1090 na Starém Městě).,1992,21x,A14CEB67B67611DF820F00166F1163D4,VI 68/1 b,1992-01-01,1992-12-31,14.42825,50.08762,regional.address,geocode,"Jelínková, Jana (1951-)",,,[],[]
pozitiv,Pohled do Martinské ulice s domem čp. 417 před kostelem sv. Martina ve zdi na Starém Městě.,16.7.1904,14x,A14CE90AB67611DF820F00166F1163D4,VI 47/20 b,1904-07-16,1904-07-16,14.4199,50.08269,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na malovaný strop v prvním patře domu čp. 347 v ulici Na Perštýně na Starém Městě.,kol. 1910,22x,E39DF4FBCBE611E4AB2C406186009F3A,V 5/8 a,,,14.41845,50.08327,regional.address,geocode,,,,[],[]
pozitiv,Pohled do Karmelitské ulice s domem čp. 388 na Malé Straně (četnická kasárna).,28.5.1904,70x,A14CE912B67611DF820F00166F1163D4,VI 8/28,1904-05-28,1904-05-28,14.40454,50.08495,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Průhled Václavským náměstím od Můstku. V pozadí Národní muzeum (dům čp. 1700 na Novém Městě). Vlevo domy východní strany náměstí.,1901-1902,58x,32818A1DD85611E89C7B74D435EEBE90,V 24/7 a,1901-01-01,1902-12-31,14.43056,50.07918,regional.address,geocode,Bellmann-ateliér,,,[],[]
negativ,"Pohled do Josefovské ulice od křižovatky s Cikánskou ulicí (vlevo). Zleva části domů čp. 124 v Josefově a 900 na Starém Městě, zprava domy čp. 115, 118, 119, 169 v Josefově.",kol.1895,49x,A1186AF2B67611DF820F00166F1163D4,VIII 175,1895-01-01,1895-12-31,14.41885,50.08921,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na dům čp. 868 na Senovážném náměstí na Novém Městě.,1910,61x,6BC3A318BDCA11E493C10024BE7CD9AC,V 4/10,1910-01-01,1910-12-31,14.43158,50.08552,regional.address,geocode,Bellmann,,,[],[]
negativ,"Pohled na domy (zleva) čp. 705 (""U Zlaté štiky"") a 704 (""U Zlaté krávy"") na nároží ulic Dlouhé (vlevo) a Masné na Starém Městě před zbořením v roce 1912.",2.4.1912,27x,A0C51AD6B67611DF820F00166F1163D4,VIII 703,1912-04-02,1912-04-02,14.42347,50.08969,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,"Průhled Bělohorskou ulicí k usedlosti U Kaštanu (dům čp. 201). Dále pak domy čp. 203, 204, 211, 205, 206, 207 v Břevnově.",7.9.1943,57x,F50A9CDFB60D11E58B3BD4BED94BB14D,I 11394,1943-09-07,1943-09-07,14.36081,50.08356,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled do Veleslavínské ulice (dnes Radimova) v Břevnově - západní strana.,4.9.1943,46x,F2A6A77EBAB511E5A77074D435EEBE90,I 11448,1943-09-04,1943-09-04,14.37542,50.08752,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled na dům čp. 647 na nároží ulic Malé Štupartské a Jakubské (vlevo) na Starém Městě.,29.9.1944,25x,F03AC5E9157611E39CC26C626D41E503,I 9785,1944-09-29,1944-09-29,14.42481,50.08808,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled ze Smíchova na Vyšehrad - plující ledy na Vltavě.,1910,62x,D55AD466AC8111E49EA1406186009F3A,V 3/20 b,1910-01-01,1910-12-31,14.41041,50.07195,regional.address,geocode,Bellmann,,,[],[]
pozitiv,"Pohled na portál domu čp. 498 (""U modré lišky"") v ulici Na Kampě na Malé Straně.",4.7.1906,27x,A1186FB5B67611DF820F00166F1163D4,VI 23/32,1906-07-04,1906-07-04,14.40833,50.08575,regional.address,geocode,,,,[],[]
negativ,Pohled do průjezdu a dvora domu čp. 179 v Cikánské ulici v Josefově před zbořením v roce 1910.,24.5.1906,31x,A14CE70FB67611DF820F00166F1163D4,VIII 497,1906-05-24,1906-05-24,14.4163,50.09104,regional.address,geocode,Eckert-ateliér,,,[],[]
negativ,Pohled na nástěnnou malbu v domě čp. 240 (Bretfeldovský palác) v Nerudově ulici na Malé Straně - nástěnná malba na východní stěně vlevo.,kol.1900,47x,EA7019B30ADE11E1BEC2000C766D2371,XII 402,1900-01-01,1900-12-31,14.39828,50.08841,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,0.0,[],[]
negativ,"Panoramatický pohled na Prahu z úbočí Petřína u Hladové zdi, v popředí Petřínské sady, Masarykovo nábřeží, Nové Město.",kol.1971,31x,A11887C3B67611DF820F00166F1163D4,VII 312,1971-01-01,1971-12-31,14.40078,50.08068,poi,suggest,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
negativ,Panoramatický pohled na střed Vršovic ze stanoviště v Michli u nouzové kolonie pod elektrárnou.,kol.1960,114x,A11872BEB67611DF820F00166F1163D4,VII 10,1960-01-01,1960-12-31,14.46563,50.05718,regional.address,geocode,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
pozitiv,Pohled na Hradčanské náměstí s Arcibiskupským palácem (dům čp. 56) na Hradčanech a Pražským hradem. V pozadí věže chrámu sv. Víta.,,10x,3c65cb962ef940b3b1c5d26f284fdb7b,I 12760,,,14.39535,50.08934,regional.address,geocode,Gotsche,,,[],[]
pozitiv,Pohled na stavbu přístavu v Libni - parník Wasserbau firmy Lanna.,1894-1895,89x,A63CED816D6411E88D0474D435EEBE90,V 18/13 f,1894-01-01,1895-12-31,14.41735,50.06113,regional.address,geocode,,,,[],[]
pozitiv,"Panoramatický pohled na Kobylisy a Troju od štěrkovny - jihovýchodně a jižně od Čimického háje přes vltavské údolí (od severovýchodu přes východ, jih k západu). Součást šestidílného panoramatu.",18.7.1926,73x,A11876F8B67611DF820F00166F1163D4,I 4872,1926-07-18,1926-07-18,14.45833,50.12953,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled z výšky na přestavbu severního předmostí Hlávkova mostu v Holešovicích při stavbě Severojižní magistrály.,1980,40x,C1B1FBD6E69911E89E7C74D435EEBE90,I 12411,1980-01-01,1980-12-31,14.4369,50.09567,regional.street,suggest,"Jelínková, Jana (1951-)",,,[],[]
negativ,Pohled z pravé konchy do interiéru kostele sv. Mikuláše na Malé Straně.,5.10.1907,13x,9C884DD6D53211E39F890024BE7CD9AC,XI 405,1907-10-05,1907-10-05,14.4032,50.08835,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,0.0,[],[]
pozitiv,Pohled na dřevěnou rybárnu při pilotovém mostu na ostrově Štvanice v Holešovicích.,5.6.1909,134x,A0C51630B67611DF820F00166F1163D4,I 380,1909-06-05,1909-06-05,14.44021,50.09583,regional.address,geocode,,,,[],[]
negativ,"Celkový pohled ""Faustův dům"" (dům čp. 502 na Novém Městě) na Karlově náměstí na Novém Městě.",1926,41x,15C6E9333DAA11E499B8406186009F3A,XI 6308,1926-01-01,1926-12-31,14.42313,50.08113,regional.address,suggest,Eckert-ateliér,,0.0,[],[]
pozitiv,Pohled na Černínský palác (dům čp. 101 na Hradčanech) a okolí od křižovatky ulic Keplerovy a Na Náspu na Hradčanech.,,70x,A1187A9EB67611DF820F00166F1163D4,VI 75/3,,,14.39071,50.08877,regional.address,geocode,,,,[],[]
pozitiv,"Pohled do zahrady domu čp. 180 na Hradčanech (bývalý Trautmannsdorfský palác) - ""práce na výkopu válečného vodního bazénu"". V pozadí část západního průčelí domu čp. 180, altán a vchod do velké zahrady.",5.6.1944,23x,4292489A748811E4A81F406186009F3A,I 11076,1944-06-05,1944-06-05,14.39375,50.08878,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,"Pohled na vstupní portál domu čp. 254 (""U Města Betléma"") na Betlémském náměstí na Starém Městě.",19.8.1907,20x,A0C4FE33B67611DF820F00166F1163D4,VI 15/26,1907-08-19,1907-08-19,14.41712,50.0842,regional.address,geocode,,,,[],[]
negativ,"Panoramatický pohled na Prahu ze Staroměstské věže, v popředí Vltava, Mánesův most, v pozadí Malá Strana, Strakova akademie (dům čp. 128 na Malé Straně), Letenské sady.",kol.1960,53x,A14CE5A1B67611DF820F00166F1163D4,VII 270,1960-01-01,1960-12-31,14.41139,50.09203,regional.address,geocode,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
pozitiv,Panoramatický pohled od okraje vysokého ostrohu Butovického hradiště do Prokopského údolí v okolí Klukovic. Uprostřed vlevo stojí hostinec „U Kosů“ (dnes pivovar „Prokopák“) v Klukovicích a v popředí trať Pražsko-duchcovské dráhy. Čtvrtá část pětidílného panoramatu.,18.7.1925,16x,21d5899ffe4e4b828f146b3a32080ff3,A 1937,1925-07-18,1925-07-18,14.61101,50.12245,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)","On-line výstava na webu AMP ""Pražské panorama 2. část - Prokopské a Dalejské údolí"".
                    
                
                    
                  Součást panoramatu A 1934, A 1935, A 1936, A 1937, A 1938.
                    
                
                    
                  List 20a bod 12
                    
                
                    
                  Plány sign. AMP XXXII.",0.0,[],[]
negativ,Pohled na pavilony na výstavišti v Bubenči při Jubilejní výstavě 1891.,1891,62x,A9C0EDBF6A2C11E2BF13525400E46D25,VIII 1165,1891-01-01,1891-12-31,14.43056,50.10462,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
negativ,Pohled od Mánesova mostu na Palachovo náměstí a Rudolfinum (dům čp. 79 na Starém Městě) na Starém Městě.,kol.1950,88x,A0C50E64B67611DF820F00166F1163D4,VII 1,1950-01-01,1950-12-31,14.41521,50.09017,regional.address,geocode,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
pozitiv,"Pohled na dům čp. 160 (dům pro židovské studenty, v současnosti dům čp. 770) v ulici Na Popelce na Smíchově - před opravou.",,87x,A1187775B67611DF820F00166F1163D4,I 1926,,,14.38474,50.06917,regional.address,geocode,"Korba, Jaroslav",,,[],[]
pozitiv,Pohled do čítárny dětské literatury v nové budově Ústřední knihovny hlavního města Prahy (dům čp. 98 na Starém Městě).,kol.1935,97x,A1187E40B67611DF820F00166F1163D4,II 549,1935-01-01,1935-12-31,14.41739,50.08739,regional.address,geocode,,,,[],[]
negativ,Celkový pohled na hlavní průčelí Obecního domu (dům čp. 1090 na Starém Městě) těsně před dokončením.,1911,69x,A118776FB67611DF820F00166F1163D4,X 623,1911-01-01,1911-12-31,14.42825,50.08762,regional.address,geocode,,,,[],[]
pozitiv,"Pohled na stavbu Obecního domu (domu čp. 1090 na Starém Městě). V pozadí zleva domy čp. 1037, 864 na Novém Městě a část Prašné brány.",1906-1907,86x,A0C5182DB67611DF820F00166F1163D4,II 1364,1906-01-01,1907-12-31,14.42903,50.08791,regional.address,geocode,,,,[],[]
pozitiv,Pohled do sadů na Letné se stanicí Křižíkovy elektrické dráhy.,16.10.1907,59x,A0C5116DB67611DF820F00166F1163D4,II 1055,1907-10-16,1907-10-16,14.42558,50.0964,poi,suggest,"Kříženecký, Jan (1868-1921)",,,[],[]
pozitiv,Pohled na severní území Bohnic a přilehlé části Čimic po obou stranách Čimického potoka. Součást panoramatu.,8.10.1924,32x,E337121C457511E99C7074D435EEBE90,A 1270,1924-10-08,1924-10-08,14.41381,50.13544,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
negativ,Pohled na Malou Stranu a Pražský hrad z Petřína. V popředí Malá Strana s kostelem sv. Mikuláše.,kol.1900,38x,A1186813B67611DF820F00166F1163D4,VIII 961,1900-01-01,1900-12-31,14.4032,50.08835,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Reprodukce článku z Vinohradských listů 6.1.1912 o slavnostním otevření Obecního domu (dům čp. 1090 na Starém Městě).,1992,25x,A14CEB69B67611DF820F00166F1163D4,VI 68/3 a,1992-01-01,1992-12-31,14.42825,50.08762,regional.address,geocode,"Jelínková, Jana (1951-)",,,[],[]
pozitiv,Pohled na zdění plavebních komor u ostrova Štvanice. V pozadí Negrelliho viadukt.,21.7.1909,72x,A1FC09B3646311E6A554000C76270B94,I 11852,1909-07-21,1909-07-21,14.43744,50.09433,poi,suggest,,,,[],[]
pozitiv,"Pohled do Týnské ulice s domy čp. 627, 630, 639 (zleva) na Starém Městě.",11.7.1911,46x,A0C51527B67611DF820F00166F1163D4,II 189,1911-07-11,1911-07-11,14.42292,50.08805,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,,[],[]
pozitiv,Pohled na portál kláštera Piaristů v Panské ulici (dům čp. 892 na Novém Městě).,kol.1905,46x,318D8798296611E6846C406186009F3A,F 392,1905-01-01,1905-12-31,14.42643,50.08509,regional.address,suggest,"Fink, František (1854-1935)",,0.0,[],[]
pozitiv,Pohled na domy čp. 203 a čp. 204 v Bělohorské ulici v Břevnově.,28.8.1936,45x,B0DAA826BA9D11E5A77074D435EEBE90,I 11395,1936-08-28,1936-08-28,14.3645,50.08938,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
negativ,Pohled na románskou apsidu kostela sv. Jana Křtitele na nároží Smetanova nábřeží a ulice Na Zábradlí na Starém Městě.,1896,30x,A0C4FF24B67611DF820F00166F1163D4,VIII 525,1896-01-01,1896-12-31,14.41417,50.08499,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Celkový pohled z Palmovky na libeňský plynojem.,1959,129x,3AB3F11C1B2011E5A99974D435EEBE90,I 11228,1959-01-01,1959-12-31,14.47493,50.10235,regional.address,geocode,"Roleček, Jiří",,,[],[]
pozitiv,Pohled do údolí Čimického potoka. V pozadí vpravo Bohnice s věží vodárny a s budovami Ústavu choromyslných. Součást dvoudílného panoramatu.,23.9.1924,38x,57B659FE457111E99C7074D435EEBE90,A 1249,1924-09-23,1924-09-23,14.42399,50.13341,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,Pohled do Prokopského údolí s kostelem sv. Prokopa na skále.,11.10.1925,74x,A0C5031BB67611DF820F00166F1163D4,I 4550,1925-10-11,1925-10-11,14.38197,50.0411,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled na sochu boha Merkura (Hermes) Vojtěcha Suchardy v parku usedlosti Kajetánka (dům čp. 30) v Břevnově.,26.4.1944,61x,B7D8705CB61611E58B3BD4BED94BB14D,I 11431,1944-04-26,1944-04-26,14.36874,50.08742,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled na okno jižního průčelí Staroměstské radnice (domu čp. 1) - s nápisem PRAGA CAPUT REGNI - po rekonstrukci.,1988,50x,A118733FB67611DF820F00166F1163D4,I 4470,1988-01-01,1988-12-31,14.42009,50.087,regional.address,suggest,"Rameš, František",,,[],[]
pozitiv,Pohled na Gröbeho vilu (dům čp. 58 na Vinohradech) - severní průčelí.,12.7.1931,52x,A1187B91B67611DF820F00166F1163D4,I 1840,1931-07-12,1931-07-12,14.44502,50.06921,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Portrét Antonína Gindelyho.,[1863-1905],154x,A1188C52B67611DF820F00166F1163D4,I 8615,,,14.39989,50.08699,regional.address,geocode,"Eckert, Jindřich (1833-1905)",Datace neznámá. Za účelem vyhledávání byla nastavena na časový rozsah celé sbírky.,0.0,[],[]
negativ,"Pohled od Slovanského ostrova na most Legií, v pozadí Pražský hrad.",kol.1977,32x,A1187462B67611DF820F00166F1163D4,VII 361,1977-01-01,1977-12-31,14.41319,50.07744,regional.address,geocode,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
pozitiv,"Postava krále z 2.pol. 13.stol. ""Mladý král"" - nástěnná malba z domu čp. 102 na Mariánském náměstí na Starém Městě. Dnes v Muzeu hl. města Prahy.",1906,72x,A1188167B67611DF820F00166F1163D4,VI 1/2 b,1906-01-01,1906-12-31,14.41783,50.08711,regional.address,geocode,"Kříženecký, Rudolf (dokument 1897-1931)",Autorství R. Kříženeckého není jisté.,,[],[]
CD-ROM,Pohled na část Císařského ostrova (Trojského) v okolí Trojské lávky při povodni 9.8.2002.,9.8.2002,18x,A1188C4AB67611DF820F00166F1163D4,XXII 1/23 a,2002-08-09,2002-08-09,14.41665,50.11435,regional.street,suggest,"Malec, Milan - Malcová, Alena",,0.0,[],[]
negativ,Pohled na Staroměstské náměstí s mariánským sloupem při demonstraci socialistů.,28.11.1905,38x,A825C2DE0E2F11E2935B6C626D41E503,XII 1082,1905-11-28,1905-11-28,14.41994,50.08663,regional.address,geocode,Eckert-ateliér,,0.0,[],[]
negativ,Pohled do interiéru starého královského paláce na pražském hradě - dvorská kancelář.,1904,14x,A118817DB67611DF820F00166F1163D4,VIII 372,1904-01-01,1904-12-31,14.40176,50.09062,poi,suggest,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled z Masné ulice do Štupartské ulice s domem čp. 977 (vlevo) a 633 (vpravo) na Starém Městě. V pozadí věže kostela sv. Jakuba.,27.9.1944,41x,A1188827B67611DF820F00166F1163D4,I 9171,1944-09-27,1944-09-27,14.42413,50.08877,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled na most císaře Františka I. V pozadí Staré Město.,,78x,A14CE1EBB67611DF820F00166F1163D4,I 8691,,,14.41029,50.08135,regional.street,suggest,"Fridrich, František (1829-1892)","Fridrich, František - Reach, Zikmund (repro)",,[],[]
pozitiv,Pohled na vodárnu s věží (dům čp. 500 v Holešovicích).,1906,17x,F7FD2C3A298F11E6846C406186009F3A,F 461,1906-01-01,1906-12-31,14.41987,50.10017,regional.address,geocode,"Fink, František (1854-1935)",,0.0,[],[]
pozitiv,Pohled na stavbu přístavu v Libni - slavnostní zahájení.,1892,72x,A14CE8ABB67611DF820F00166F1163D4,VI 12/12 a,1892-01-01,1892-12-31,14.46997,50.1041,regional.address,geocode,,,,[],[]
pozitiv,Pohled na dům čp. 359 v Martinské ulici na Starém Městě před přestavbou.,květen 1912,21x,A14CDC08B67611DF820F00166F1163D4,VI 1/21 b,1912-05-01,1912-05-31,14.41903,50.08307,regional.address,geocode,,,,[],[]
pozitiv,Pohled na cihelnu v Bohnicích.,,20x,A0C4F98DB67611DF820F00166F1163D4,I 4371,,,14.41014,50.08848,regional.street,suggest,"Růžička, Jar.",,,[],[]
pozitiv,Dostavba vodárny v Podolí (dům čp. 15) v roce 1958.,1958,85x,A1186885B67611DF820F00166F1163D4,I 1572,1958-01-01,1958-12-31,14.42059,50.05712,regional.address,geocode,"Fleissig, Josef",,,[],[]
pozitiv,Pohled na věž malostranské vodárny a zdymadlo na Smíchově. Vlevo cíp Židovského ostrova. V pozadí Palackého most.,13.5.1928,81x,A11872C8B67611DF820F00166F1163D4,I 8761,1928-05-13,1928-05-13,14.40929,50.0761,poi,suggest,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled na Karlův most při povodni 3.9.1890. V popředí naplavené dříví. V pozadí Malá Strana a Pražský hrad.,3.9.1890,56x,A0C51260B67611DF820F00166F1163D4,VI 39/14,1890-09-03,1890-09-03,14.41405,50.08641,regional.address,geocode,"Mulač, Jan",,,[],[]
pozitiv,Cvičení žen během VII. všesokolského sletu na Letné v Holešovicích.,27.-30.6.1920,44x,237E84E887D911E79100406186009F3A,I 12193,,,14.42032,50.09595,regional.address,geocode,"Vojta, Tomáš (1885-1934)",,,[],[]
negativ,Celkový pohled od západu přes Vltavu na Rudolfinum před dokončením (dům čp. 79 na Starém Městě) na Starém Městě.,kol.1884,25x,002322E8769411E2BF17525400E46D25,VIII 1220,1884-01-01,1884-12-31,14.41521,50.09017,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled do dvora domu čp. 72 na Hradčanech (voršilský klášter - dělostřelecká kasárna). Vpravo kostel sv. Jana Nepomuckého.,,38x,A14CEA70B67611DF820F00166F1163D4,VI 59/17,,,14.39366,50.09013,regional.address,geocode,"Eckert, Jindřich (1833-1905)","Eckert, Jindřich - Eckert-ateliér (repro)",,[],[]
negativ,"Pohled na dům čp. 900 na nároží ulic Josefovské, Cikánské a Kostelní na Starém Městě. V pozadí kostel sv. Ducha.",kol.1900,51x,A0C50DFDB67611DF820F00166F1163D4,VIII 886,1900-01-01,1900-12-31,14.4202,50.0913,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na Jungmannovo náměstí z Perlové ulice. Vpravo dům čp. 36 (Thunovský palác) na Novém Městě na nároží ulic Národní a Jungmannovy. Vlevo dům čp. 752 na Jungmannově náměstí a část pomníku Josefa Jungmanna. Uprostřed průhled Jungmannovou ulicí.,20.7.1911,94x,A14CEA6CB67611DF820F00166F1163D4,VI 53/13,1911-07-20,1911-07-20,14.42213,50.08248,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Pohled na plastiku vázy v zahradě Trojského zámku (dům čp. 1 v Troji).,,23x,A14CE984B67611DF820F00166F1163D4,VI 41/55,,,14.4124,50.11648,regional.address,geocode,,,,[],[]
pozitiv,"Pohled do ulice U Staré školy. Uprostřed dům čp. 156 v Josefově, část Španělské synagogy čp. 141 v Josefově vpravo.",30.10.1909,18x,08172307ca414d858c9eeba6621fb0ee,V 78/12 a,1909-10-30,1909-10-30,14.41868,50.08806,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,0.0,[],[]
pozitiv,Celkový pohled na kostel Zesnutí přesvaté Bohorodice na Olšanských hřbitovech na Žižkově při závěrečných stavebních úpravách (schodiště).,1925,80x,8017CD95510211E38E526C626D41E503,I 9816,1925-01-01,1925-12-31,14.47557,50.08153,poi,suggest,"Vojta, Tomáš (1885-1934)",,,[],[]
negativ,Celkový pohled na východní průčelí domu čp. 130 (Zámečnice) v ulici Nad Zámečnicí na Smíchově.,,37x,A11883F3B67611DF820F00166F1163D4,X 1495,,,14.36867,50.07049,regional.address,geocode,,,,[],[]
pozitiv,"Průhled ulicí Jánský vršek na Malé Straně. Vlevo dům čp. 240, vpravo dům čp. 313 s čp. 314. V pozadí dům čp. 220 v Nerudově ulici.",17.3.1908,71x,A0C519B4B67611DF820F00166F1163D4,II 101,1908-03-17,1908-03-17,14.39841,50.08853,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,,[],[]
negativ,Průhled Vlašskou ulicí k Tržišti - vlevo kostel sv. Karla Boromejského při nemocnici Milosrdných sester sv. Karla Boromejského pod Petřínem (dům čp. 336 na Malé Straně).,kol.1925,74x,12D0815FF8A711E4808074D435EEBE90,X 10390,1925-01-01,1925-12-31,14.39624,50.08704,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Průhled údolím v zahradě usedlosti Cibulka v Košířích (dům čp. 118) k jihu.,říjen 1924,53x,A1188539B67611DF820F00166F1163D4,I 4611,1924-10-01,1924-10-31,14.35655,50.06696,regional.address,geocode,"Vojta, Tomáš (1885-1934)",,,[],[]
negativ,Pohled na staveniště školy na Karlově. V pozadí kostel Nanebevzetí P. Marie a sv. Karla Velikého na Karlově.,kol.1892,34x,0DE71956753211E2BF16525400E46D25,VIII 1193,1892-01-01,1892-12-31,14.42851,50.0692,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na hroby na Malostranském hřbitově na Smíchově - původní stav. Rodina Bělských.,23.3.1927,61x,D98D17792FC011E5A57D74D435EEBE90,I 11275,1927-03-23,1927-03-23,14.39148,50.07167,poi,suggest,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled přes Vltavu na osvětlený kostel sv. Petra a Pavla na Vyšehradě při příležitosti 10. výročí samostatnosti Československé republiky.,28.10.1928,44x,66D1C6ED17E411E891E8406186009F3A,I 12066,1928-10-28,1928-10-28,14.41785,50.06442,poi,suggest,"Vopravil, Josef (1902-1972)",Autorství J. Vopravila není jisté.,,[],[]
pozitiv,"Pohled na Hostivař z Hostivařské ulice do míst dnešní Švehlovy ulice (z křižovatky ulic Hornoměcholupská, Hostivařská, Švehlova a Průmyslová).",15.6.1930,92x,A14CE2E8B67611DF820F00166F1163D4,I 9066,1930-06-15,1930-06-15,14.52596,50.05095,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
negativ,Pohled do interiéru Pavilonu král. hlavního města Prahy na výstavišti v Bubenči při Jubilejní výstavě 1891 - obecní budovy.,,53x,BDD8AAAABEDA11E2A393D4BED94BB14D,VIII 1681,,,14.43163,50.10528,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Okupace 1939-1945 - Nové Město - objekty pobořené náletem spojenců 14.2.1945: Karlovo náměstí - podzemní kryt v jižní části sadů rozmetaný zásahem a tlakem vzduchu.,27.4.1945,129x,A11871B1B67611DF820F00166F1163D4,I 1800,1945-04-27,1945-04-27,14.42112,50.07643,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
negativ,Pohled do interiéru kostela sv. Ignáce na Karlově náměstí na Novém Městě - hlavní loď směrem k oltáři. Slavnostní výzdoba s letopočtem 1904.,5.12.1904,40x,A11884B4B67611DF820F00166F1163D4,VIII 693,1904-12-05,1904-12-05,14.419,50.07337,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
negativ,Pohled na náhrobek Jiřího Popele z Lobkovic v chrámu sv. Víta na Pražském hradě.,3.3.1910,30x,387B815C5C4E11E0801C0010DCCFBEC5,XII 267,1910-03-03,1910-03-03,14.4006,50.09089,poi,suggest,Eckert-ateliér,,0.0,[],[]
